,x,y,weights
534,115498.10049999971,10058419.6826,1
535,115348.67590000015,10058433.4508,1
536,115685.17190000042,10058449.0544,1
537,115970.85190000013,10058564.1668,1
538,115832.03500000015,10058594.2462,1
539,115761.18890000042,10058881.6743,1
540,115728.34659999982,10058902.2204,1
541,115493.66509999987,10059017.0971,1
542,115693.97159999982,10059024.3536,1
543,115581.65139999986,10059057.5769,1
544,115600.20260000043,10059065.9881,1
545,115422.83349999972,10059328.2122,1
546,115527.78000000026,10059374.4721,1
547,115572.313,10059412.3444,1
548,115322.20309999958,10059418.2756,1
549,115475.4291000003,10059567.6735,1
550,115845.85190000013,10059607.9928,1
551,115815.1595,10059681.6994,1
552,115998.03899999987,10059795.2875,1
553,115978.45969999954,10059842.6702,1
554,115925.47549999971,10059852.701,1
555,115889.4765999997,10059912.7256,1
556,115952.56120000035,10059959.5349,1
557,115972.70569999982,10059974.2612,1
558,115876.36429999955,10060149.5911,1
559,115913.9927000003,10060159.5703,1
560,115923.53689999972,10060170.0918,1
561,114313.7070000004,10060191.8053,1
562,114240.03699999955,10060169.2141,1
563,114210.3387000002,10060128.1751,1
564,114215.1069,10060126.5933,1
565,114320.56579999998,10060139.6918,1
566,114489.0998999998,10060181.7038,1
567,114487.5,10060163.8085,1
568,114482.67289999966,10060062.7505,1
569,114445.57139999978,10060048.5601,1
570,114289.26269999985,10060072.3358,1
571,114214.52450000029,10060035.0071,1
572,114293.9698,10059963.9031,1
573,114350.69629999995,10060010.1902,1
574,114193.79040000029,10059916.588,1
575,114197.51809999999,10059948.6938,1
576,114159.36569999997,10059950.2947,1
577,114055.60649999976,10060129.3167,1
578,114072.52029999997,10060054.0374,1
579,115494.85010000039,10060172.7056,1
580,115427.54970000032,10060167.4806,1
581,115376.67480000015,10060159.6144,1
582,115488.93719999958,10060025.8565,1
583,115445.46439999994,10059989.0366,1
584,115210.8218,10060170.2365,1
585,115165.7725999998,10060157.1034,1
586,115097.41860000044,10060162.9325,1
587,115088.9287,10060142.9359,1
588,115053.42769999988,10060147.167,1
589,115036.45480000041,10060119.2799,1
590,115007.31020000018,10060119.2966,1
591,114998.29980000015,10060115.6173,1
592,114914.60410000011,10060166.1954,1
593,114990.84740000032,10060056.6697,1
594,115036.93329999968,10060029.2728,1
595,114982.89190000016,10060044.5681,1
596,114937.84329999983,10060032.4876,1
597,114758.7615,10060077.3304,1
598,114853.05759999994,10060030.4307,1
599,115250.52730000019,10060105.4722,1
600,115160.3289,10059903.9298,1
601,115351.0700000003,10059862.7655,1
602,115342.05179999955,10059845.4009,1
603,115227.58029999956,10059822.8329,1
604,113322.3399,10057283.3118,1
605,113341.42509999964,10057298.5659,1
606,113337.71719999984,10057301.1998,1
607,113084.43290000036,10057327.657,1
608,113273.08449999988,10057331.7645,1
609,113338.26819999982,10057339.6242,1
610,113254.5488,10057352.3029,1
611,113333.50650000013,10057353.3124,1
612,113393.39240000024,10057363.8068,1
613,113097.70150000043,10057365.5482,1
614,113049.48309999984,10057372.4175,1
615,113207.40990000032,10057394.9645,1
616,113133.75189999957,10057395.005,1
617,113293.26740000024,10057415.972,1
618,113233.9221,10057424.9528,1
619,113234.46899999958,10057456.0082,1
620,113250.8984000003,10057459.6837,1
621,113228.11239999998,10057460.2226,1
622,113065.45370000042,10057505.5796,1
623,113107.3172000004,10057506.083,1
624,112972.72360000014,10057514.5789,1
625,113196.87909999955,10057517.6137,1
626,112962.12820000015,10057519.8484,1
627,113128.53029999975,10057536.0742,1
628,112910.2229000004,10057567.7765,1
629,113060.7204,10057570.8518,1
630,112901.74749999959,10057573.5712,1
